"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Feb 26 15:15:33 GMT 2023","Sun Feb 26 15:15:33 GMT 2023","0","tests.ui","test_header_elements_visibility","TestHeaderElementsVisibility","","","test_mobile_header_home_visibility[setup_mobile_browser0]",""
"passed","Sun Feb 26 15:15:30 GMT 2023","Sun Feb 26 15:15:30 GMT 2023","25","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_cookie_settings[setup_browser0]",""
"passed","Sun Feb 26 15:15:30 GMT 2023","Sun Feb 26 15:15:30 GMT 2023","26","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_licenses[setup_browser0]",""
"passed","Sun Feb 26 15:15:30 GMT 2023","Sun Feb 26 15:15:30 GMT 2023","24","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_guidelines[setup_browser0]",""
"broken","Sun Feb 26 15:15:33 GMT 2023","Sun Feb 26 15:15:33 GMT 2023","0","tests.ui","test_header_elements_visibility","TestHeaderElementsVisibility","","","test_mobile_header_download_visibility[setup_mobile_browser0]",""
"passed","Sun Feb 26 15:15:21 GMT 2023","Sun Feb 26 15:15:21 GMT 2023","39","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_status[setup_browser0]",""
"passed","Sun Feb 26 15:15:19 GMT 2023","Sun Feb 26 15:15:19 GMT 2023","163","tests.api","test_get_location_metadata","","","","test_get_location_metadata",""
"passed","Sun Feb 26 15:15:30 GMT 2023","Sun Feb 26 15:15:30 GMT 2023","25","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_terms[setup_browser0]",""
"passed","Sun Feb 26 15:15:21 GMT 2023","Sun Feb 26 15:15:21 GMT 2023","25","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_college[setup_browser0]",""
"broken","Sun Feb 26 15:15:33 GMT 2023","Sun Feb 26 15:15:33 GMT 2023","0","tests.ui","test_header_elements_visibility","TestHeaderElementsVisibility","","","test_mobile_header_login_btn_visibility[setup_mobile_browser0]",""
"passed","Sun Feb 26 15:15:26 GMT 2023","Sun Feb 26 15:15:26 GMT 2023","27","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_blog[setup_browser0]",""
"passed","Sun Feb 26 15:15:30 GMT 2023","Sun Feb 26 15:15:30 GMT 2023","21","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_title_text[setup_browser0]",""
"passed","Sun Feb 26 15:15:21 GMT 2023","Sun Feb 26 15:15:21 GMT 2023","33","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_jobs[setup_browser0]",""
"broken","Sun Feb 26 15:15:34 GMT 2023","Sun Feb 26 15:15:34 GMT 2023","0","tests.ui","test_header_elements_visibility","TestHeaderElementsVisibility","","","test_mobile_header_safety_visibility[setup_mobile_browser0]",""
"passed","Sun Feb 26 15:15:30 GMT 2023","Sun Feb 26 15:15:30 GMT 2023","24","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_title[setup_browser0]",""
"passed","Sun Feb 26 15:15:21 GMT 2023","Sun Feb 26 15:15:21 GMT 2023","69","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_download[setup_browser0]",""
