"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 26 16:26:31 GMT 2023","Sun Feb 26 16:26:31 GMT 2023","34","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_streamkit[setup_browser0]",""
"passed","Sun Feb 26 16:26:34 GMT 2023","Sun Feb 26 16:26:34 GMT 2023","31","tests.ui","test_header_elements_visibility","TestHeaderElementsVisibility","","","test_desktop_text_in_nitro[setup_browser0]",""
"broken","Sun Feb 26 16:26:36 GMT 2023","Sun Feb 26 16:26:36 GMT 2023","0","tests.ui","test_header_elements_visibility","TestHeaderElementsVisibility","","","test_mobile_header_mod_academy_visibility[setup_mobile_browser0]",""
"passed","Sun Feb 26 16:26:32 GMT 2023","Sun Feb 26 16:26:32 GMT 2023","31","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_title_text[setup_browser0]",""
"broken","Sun Feb 26 16:26:35 GMT 2023","Sun Feb 26 16:26:35 GMT 2023","0","tests.ui","test_header_elements_visibility","TestHeaderElementsVisibility","","","test_mobile_header_download_visibility[setup_mobile_browser0]",""
"passed","Sun Feb 26 16:26:34 GMT 2023","Sun Feb 26 16:26:34 GMT 2023","479","tests.ui","test_header_elements_visibility","TestHeaderElementsVisibility","","","test_desktop_visibility_logo[setup_browser0]",""
"broken","Sun Feb 26 16:26:37 GMT 2023","Sun Feb 26 16:26:37 GMT 2023","0","tests.ui","test_header_elements_visibility","TestHeaderElementsVisibility","","","test_mobile_header_download_btn_visibility[setup_mobile_browser0]",""
"passed","Sun Feb 26 16:26:31 GMT 2023","Sun Feb 26 16:26:31 GMT 2023","33","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_cookie_settings[setup_browser0]",""
"broken","Sun Feb 26 16:26:36 GMT 2023","Sun Feb 26 16:26:36 GMT 2023","0","tests.ui","test_header_elements_visibility","TestHeaderElementsVisibility","","","test_mobile_header_discover_visibility[setup_mobile_browser0]",""
"passed","Sun Feb 26 16:26:31 GMT 2023","Sun Feb 26 16:26:31 GMT 2023","34","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_privacy[setup_browser0]",""
"passed","Sun Feb 26 16:26:31 GMT 2023","Sun Feb 26 16:26:32 GMT 2023","37","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_acknowledgements[setup_browser0]",""
"passed","Sun Feb 26 16:26:22 GMT 2023","Sun Feb 26 16:26:22 GMT 2023","40","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_about[setup_browser0]",""
"passed","Sun Feb 26 16:26:34 GMT 2023","Sun Feb 26 16:26:34 GMT 2023","32","tests.ui","test_header_elements_visibility","TestHeaderElementsVisibility","","","test_desktop_text_in_discover[setup_browser0]",""
"passed","Sun Feb 26 16:26:27 GMT 2023","Sun Feb 26 16:26:27 GMT 2023","34","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_blog[setup_browser0]",""
"broken","Sun Feb 26 16:26:35 GMT 2023","Sun Feb 26 16:26:35 GMT 2023","0","tests.ui","test_header_elements_visibility","TestHeaderElementsVisibility","","","test_mobile_header_home_visibility[setup_mobile_browser0]",""
"passed","Sun Feb 26 16:26:27 GMT 2023","Sun Feb 26 16:26:27 GMT 2023","33","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_feedback[setup_browser0]",""
"passed","Sun Feb 26 16:26:22 GMT 2023","Sun Feb 26 16:26:22 GMT 2023","34","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_support[setup_browser0]",""
"passed","Sun Feb 26 16:26:21 GMT 2023","Sun Feb 26 16:26:22 GMT 2023","369","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_download[setup_browser0]",""
"passed","Sun Feb 26 16:26:32 GMT 2023","Sun Feb 26 16:26:32 GMT 2023","32","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_title[setup_browser0]",""
"broken","Sun Feb 26 16:26:35 GMT 2023","Sun Feb 26 16:26:35 GMT 2023","0","tests.ui","test_header_elements_visibility","TestHeaderElementsVisibility","","","test_mobile_header_nitro_visibility[setup_mobile_browser0]",""
"passed","Sun Feb 26 16:26:34 GMT 2023","Sun Feb 26 16:26:34 GMT 2023","33","tests.ui","test_header_elements_visibility","TestHeaderElementsVisibility","","","test_desktop_text_in_download[setup_browser0]",""
"passed","Sun Feb 26 16:26:34 GMT 2023","Sun Feb 26 16:26:34 GMT 2023","27","tests.ui","test_header_elements_visibility","TestHeaderElementsVisibility","","","test_desktop_text_in_careers[setup_browser0]",""
"passed","Sun Feb 26 16:26:31 GMT 2023","Sun Feb 26 16:26:31 GMT 2023","33","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_terms[setup_browser0]",""
"passed","Sun Feb 26 16:26:34 GMT 2023","Sun Feb 26 16:26:34 GMT 2023","33","tests.ui","test_header_elements_visibility","TestHeaderElementsVisibility","","","test_desktop_text_in_support[setup_browser0]",""
"passed","Sun Feb 26 16:26:13 GMT 2023","Sun Feb 26 16:26:13 GMT 2023","0","tests.api","test_post_authorization","","","","test_post_authorization",""
"passed","Sun Feb 26 16:26:22 GMT 2023","Sun Feb 26 16:26:22 GMT 2023","38","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_newsroom[setup_browser0]",""
"passed","Sun Feb 26 16:26:32 GMT 2023","Sun Feb 26 16:26:32 GMT 2023","32","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_licenses[setup_browser0]",""
"passed","Sun Feb 26 16:26:31 GMT 2023","Sun Feb 26 16:26:31 GMT 2023","31","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_guidelines[setup_browser0]",""
"failed","Sun Feb 26 16:26:22 GMT 2023","Sun Feb 26 16:26:27 GMT 2023","4245","tests.ui","test_footer_elements_visibility","TestFooterElementsVisibility","","","test_desktop_visibility_footer_safety[setup_browser0]",""
"broken","Sun Feb 26 16:26:35 GMT 2023","Sun Feb 26 16:26:35 GMT 2023","0","tests.ui","test_header_elements_visibility","TestHeaderElementsVisibility","","","test_mobile_header_login_btn_visibility[setup_mobile_browser0]",""
